example_id                                                    | status  | run_time        |
------------------------------------------------------------- | ------- | --------------- |
./spec/controllers/categories_controller_spec.rb[1:1:1]       | pending | 0.00283 seconds |
./spec/controllers/categories_controller_spec.rb[1:2:1]       | pending | 0.00144 seconds |
./spec/controllers/categories_controller_spec.rb[1:3:1:1]     | pending | 0.00355 seconds |
./spec/controllers/categories_controller_spec.rb[1:3:1:2]     | pending | 0.00204 seconds |
./spec/controllers/categories_controller_spec.rb[1:3:2:1]     | pending | 0.0036 seconds  |
./spec/controllers/categories_controller_spec.rb[1:4:1:1]     | pending | 0.00257 seconds |
./spec/controllers/categories_controller_spec.rb[1:4:1:2]     | pending | 0.00188 seconds |
./spec/controllers/categories_controller_spec.rb[1:4:2:1]     | pending | 0.00212 seconds |
./spec/controllers/categories_controller_spec.rb[1:5:1]       | pending | 0.00211 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:1:1]    | pending | 0.00178 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:2:1]    | pending | 0.00167 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:3:1:1]  | pending | 0.00514 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:3:1:2]  | pending | 0.00199 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:3:2:1]  | pending | 0.00114 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:4:1:1]  | pending | 0.00146 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:4:1:2]  | pending | 0.0018 seconds  |
./spec/controllers/city_managers_controller_spec.rb[1:4:2:1]  | pending | 0.00146 seconds |
./spec/controllers/city_managers_controller_spec.rb[1:5:1]    | pending | 0.00125 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:1:1]     | pending | 0.00413 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:2:1]     | pending | 0.00372 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:3:1:1]   | pending | 0.00517 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:3:1:2]   | pending | 0.00273 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:3:2:1]   | pending | 0.00394 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:4:1:1]   | pending | 0.00232 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:4:1:2]   | pending | 0.00291 seconds |
./spec/controllers/form_answers_controller_spec.rb[1:4:2:1]   | pending | 0.0019 seconds  |
./spec/controllers/form_answers_controller_spec.rb[1:5:1]     | pending | 0.00204 seconds |
./spec/controllers/form_options_controller_spec.rb[1:1:1]     | pending | 0.00154 seconds |
./spec/controllers/form_options_controller_spec.rb[1:2:1]     | pending | 0.00135 seconds |
./spec/controllers/form_options_controller_spec.rb[1:3:1:1]   | pending | 0.00293 seconds |
./spec/controllers/form_options_controller_spec.rb[1:3:1:2]   | pending | 0.00193 seconds |
./spec/controllers/form_options_controller_spec.rb[1:3:2:1]   | pending | 0.00137 seconds |
./spec/controllers/form_options_controller_spec.rb[1:4:1:1]   | pending | 0.00136 seconds |
./spec/controllers/form_options_controller_spec.rb[1:4:1:2]   | pending | 0.00137 seconds |
./spec/controllers/form_options_controller_spec.rb[1:4:2:1]   | pending | 0.00177 seconds |
./spec/controllers/form_options_controller_spec.rb[1:5:1]     | pending | 0.00173 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:1:1]   | pending | 0.00145 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:2:1]   | pending | 0.00156 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:3:1:1] | pending | 0.00433 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:3:1:2] | pending | 0.00166 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:3:2:1] | pending | 0.00138 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:4:1:1] | pending | 0.00154 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:4:1:2] | pending | 0.00172 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:4:2:1] | pending | 0.00144 seconds |
./spec/controllers/form_questions_controller_spec.rb[1:5:1]   | pending | 0.00187 seconds |
./spec/controllers/forms_controller_spec.rb[1:1:1]            | pending | 0.00137 seconds |
./spec/controllers/forms_controller_spec.rb[1:2:1]            | pending | 0.0028 seconds  |
./spec/controllers/forms_controller_spec.rb[1:3:1:1]          | pending | 0.0042 seconds  |
./spec/controllers/forms_controller_spec.rb[1:3:1:2]          | pending | 0.00166 seconds |
./spec/controllers/forms_controller_spec.rb[1:3:2:1]          | pending | 0.00181 seconds |
./spec/controllers/forms_controller_spec.rb[1:4:1:1]          | pending | 0.00256 seconds |
./spec/controllers/forms_controller_spec.rb[1:4:1:2]          | pending | 0.00243 seconds |
./spec/controllers/forms_controller_spec.rb[1:4:2:1]          | pending | 0.00135 seconds |
./spec/controllers/forms_controller_spec.rb[1:5:1]            | pending | 0.00208 seconds |
./spec/controllers/groups_controller_spec.rb[1:1:1]           | pending | 0.00266 seconds |
./spec/controllers/groups_controller_spec.rb[1:2:1]           | pending | 0.00347 seconds |
./spec/controllers/groups_controller_spec.rb[1:3:1:1]         | pending | 0.01858 seconds |
./spec/controllers/groups_controller_spec.rb[1:3:1:2]         | pending | 0.04344 seconds |
./spec/controllers/groups_controller_spec.rb[1:3:2:1]         | pending | 0.00288 seconds |
./spec/controllers/groups_controller_spec.rb[1:4:1:1]         | pending | 0.0026 seconds  |
./spec/controllers/groups_controller_spec.rb[1:4:1:2]         | pending | 0.00331 seconds |
./spec/controllers/groups_controller_spec.rb[1:4:2:1]         | pending | 0.00259 seconds |
./spec/controllers/groups_controller_spec.rb[1:5:1]           | pending | 0.00301 seconds |
./spec/controllers/messages_controller_spec.rb[1:1]           | passed  | 0.00975 seconds |
./spec/controllers/messages_controller_spec.rb[1:2:1]         | pending | 0.00879 seconds |
./spec/controllers/messages_controller_spec.rb[1:3:1]         | pending | 0.00774 seconds |
./spec/controllers/messages_controller_spec.rb[1:4:1:1]       | pending | 0.01006 seconds |
./spec/controllers/messages_controller_spec.rb[1:4:1:2]       | pending | 0.00924 seconds |
./spec/controllers/messages_controller_spec.rb[1:4:2:1]       | pending | 0.00789 seconds |
./spec/controllers/messages_controller_spec.rb[1:5:1:1]       | pending | 0.00844 seconds |
./spec/controllers/messages_controller_spec.rb[1:5:1:2]       | pending | 0.00794 seconds |
./spec/controllers/messages_controller_spec.rb[1:5:2:1]       | pending | 0.00797 seconds |
./spec/controllers/messages_controller_spec.rb[1:6:1]         | pending | 0.00786 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:1]      | passed  | 0.04879 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:2:1]    | pending | 0.01046 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:3:1]    | pending | 0.01249 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:4:1:1]  | pending | 0.01921 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:4:1:2]  | pending | 0.0097 seconds  |
./spec/controllers/pre_registers_controller_spec.rb[1:4:2:1]  | pending | 0.00871 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:5:1:1]  | pending | 0.01116 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:5:1:2]  | pending | 0.01173 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:5:2:1]  | pending | 0.01414 seconds |
./spec/controllers/pre_registers_controller_spec.rb[1:6:1]    | pending | 0.0123 seconds  |
./spec/controllers/syndromes_controller_spec.rb[1:1]          | passed  | 0.01092 seconds |
./spec/controllers/syndromes_controller_spec.rb[1:2:1]        | pending | 0.00954 seconds |
./spec/controllers/syndromes_controller_spec.rb[1:3:1]        | pending | 0.0097 seconds  |
./spec/controllers/syndromes_controller_spec.rb[1:4:1:1]      | pending | 0.01296 seconds |
./spec/controllers/syndromes_controller_spec.rb[1:4:1:2]      | pending | 0.01154 seconds |
./spec/controllers/syndromes_controller_spec.rb[1:4:2:1]      | pending | 0.00931 seconds |
./spec/controllers/syndromes_controller_spec.rb[1:5:1:1]      | pending | 0.00877 seconds |
./spec/controllers/syndromes_controller_spec.rb[1:5:1:2]      | pending | 0.00915 seconds |
./spec/controllers/syndromes_controller_spec.rb[1:5:2:1]      | pending | 0.0135 seconds  |
./spec/controllers/syndromes_controller_spec.rb[1:6:1]        | pending | 0.00837 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:1:1]     | pending | 0.0016 seconds  |
./spec/controllers/twitter_apis_controller_spec.rb[1:2:1]     | pending | 0.00225 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:3:1:1]   | pending | 0.00345 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:3:1:2]   | pending | 0.00157 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:3:2:1]   | pending | 0.00149 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:4:1:1]   | pending | 0.00162 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:4:1:2]   | pending | 0.00256 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:4:2:1]   | pending | 0.00151 seconds |
./spec/controllers/twitter_apis_controller_spec.rb[1:5:1]     | pending | 0.00143 seconds |
./spec/jobs/create_content_job_spec.rb[1:1]                   | pending | 0.00001 seconds |
./spec/models/app_spec.rb[1:1]                                | passed  | 0.00363 seconds |
./spec/models/app_spec.rb[1:2]                                | passed  | 0.00385 seconds |
./spec/models/category_spec.rb[1:1]                           | pending | 0.00001 seconds |
./spec/models/city_manager_spec.rb[1:1]                       | pending | 0.00001 seconds |
./spec/models/dose_spec.rb[1:1:1:1]                           | passed  | 0.01719 seconds |
./spec/models/dose_spec.rb[1:2:1:1]                           | passed  | 0.04808 seconds |
./spec/models/dose_spec.rb[1:2:2:1]                           | passed  | 0.02265 seconds |
./spec/models/dose_spec.rb[1:3:1:1]                           | passed  | 0.01698 seconds |
./spec/models/dose_spec.rb[1:3:2:1]                           | passed  | 0.01569 seconds |
./spec/models/dose_spec.rb[1:3:3:1]                           | passed  | 0.01686 seconds |
./spec/models/dose_spec.rb[1:3:4:1]                           | passed  | 0.01771 seconds |
./spec/models/form_answer_spec.rb[1:1]                        | pending | 0.00001 seconds |
./spec/models/form_option_spec.rb[1:1]                        | pending | 0 seconds       |
./spec/models/form_question_spec.rb[1:1]                      | pending | 0 seconds       |
./spec/models/form_spec.rb[1:1]                               | pending | 0.00001 seconds |
